# PC88Behavior 割り込み受理ログ
#
# 記録しているのは Z80 が割り込みを受理した事実そのもの——
# 受理時の割り込みモード(im)・intr_ack()が返したレベル(level)・
# 受理直前PC(ret_pc、スタックに積まれる戻り番地)・分岐後の
# ハンドラ入口(handler_pc)・フレーム番号のみ。ROM の内容は含まない。
#
# メインCPUとサブCPUは別々のZ80として並行に走っており、互いの
# seq/frame を比較しても実際の前後関係にはならない。そのため
# 1本の列に混ぜず、CPUごとに節を分けて出す（メイン→サブの順）。
# 同一CPU内の節は seq の昇順＝発生順そのもの。
#
# clock 列（M6c）は main/sub・iolog/intlog を横断する共通の
# 単調増加通し番号。iolog の clock 列と同じ番号空間を共有して
# いるので、割り込み受理と I/O イベントの前後関係も判定できる
# （小さいほうが先に起きた）。詳細は q88h_clock.h を参照。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
rom-dir   : $PC88_REF_ROM_DIR
disk      : $PC88_REF_DISK_DIR/diskB.d88
frames    : 3600

# main
# seq    clock   frame  cpu   im  level  ret_pc  handler_pc
   245  652142    276  main   2     2   9117    9456
   246  652230    276  main   2     4   9118    9469
   247  652240    276  main   2     2   9118    9456
   248  652338    276  main   2     2   9117    9456
   249  652440    276  main   2     2   9112    9456
   250  652444    276  main   2     4   910F    9469
   251  652534    277  main   2     2   9118    9456
   252  652636    277  main   2     2   9112    9456
   253  652658    277  main   2     4   9112    9469
   254  652730    277  main   2     2   9118    9456
   255  652833    277  main   2     2   9114    9456
   256  652873    277  main   2     4   9114    9469
   257  652915    277  main   2     2   9114    9456
   258  653017    277  main   2     2   910D    9456
   259  653075    277  main   2     4   9112    9469
   260  653111    277  main   2     2   9114    9456
   261  653242    277  main   2     2   9191    9456
   262  653342    277  main   2     4   9190    9469
   263  653361    277  main   2     2   9189    9456
   264  653495    277  main   2     2   9189    9456
   265  653619    278  main   2     4   9185    9469
   266  653629    278  main   2     2   9185    9456
   267  653748    278  main   2     2   9181    9456
   268  653882    278  main   2     2   9181    9456
   269  653896    278  main   2     4   918B    9469
   270  653986    278  main   2     2   9181    9456
   271  654120    278  main   2     2   9181    9456
   272  654158    278  main   2     4   918B    9469
   273  654240    278  main   2     2   918B    9456
   274  654374    278  main   2     2   918B    9456
   275  654434    278  main   2     4   9181    9469
   276  654492    278  main   2     2   9181    9456
   277  654626    278  main   2     2   9182    9456
   278  654711    278  main   2     4   9189    9469
   279  654746    278  main   2     2   918B    9456
   280  654880    278  main   2     2   918B    9456
   281  654988    279  main   2     4   9191    9469
   282  654998    279  main   2     2   9191    9456
   283  655118    279  main   2     2   918B    9456
   284  655250    279  main   2     4   9191    9469
   285  655260    279  main   2     2   9191    9456
   286  655371    279  main   2     2   9184    9456
   287  655505    279  main   2     2   9184    9456
   288  655527    279  main   2     4   9184    9469
   289  655624    279  main   2     2   918C    9456
   290  655758    279  main   2     2   918D    9456
   291  655804    279  main   2     4   918B    9469
   292  655877    279  main   2     2   9184    9456
   293  656011    279  main   2     2   9185    9456
   294  656080    279  main   2     4   9181    9469
   295  656115    279  main   2     2   9184    9456
   296  656249    279  main   2     2   9185    9456
   297  656321    280  main   2     4   9114    9469
   298  656342    280  main   2     2   9112    9456
   299  656445    280  main   2     2   9119    9456
   300  656535    280  main   2     4   9116    9469
   301  656545    280  main   2     2   9116    9456
   302  656641    280  main   2     2   910D    9456
   303  656744    280  main   2     2   9114    9456
   304  656749    280  main   2     4   910D    9469
   305  656837    280  main   2     2   910D    9456
   306  656940    280  main   2     2   9114    9456
