# PC88Behavior バスアクセス採取結果
# 記録しているのはアドレスとアクセス種別のみ。ROM の内容は含まない。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
rom-dir   : $PC88_REF_ROM_DIR
disk      : (なし)
frames    : 600
type      : (なし)

[測定終了時のテキスト画面]
   1| How many files(0-15)?
  19|       load "        auto          go to         list          run

[メインCPU] 総アクセス回数: exec=5019141 read=4869253 write=1563198 in=14583 out=4340

[メインCPU 実行された番地 (fetch)]
  550F-550F  (1)
  5511-5511  (1)
  5514-5516  (3)
  5518-5518  (1)
  5524-5529  (6)
  552C-552C  (1)
  552F-552F  (1)
  5531-5531  (1)
  5534-5534  (1)
  5537-5537  (1)
  5539-5539  (1)
  553C-553C  (1)
  553F-553F  (1)
  5542-5543  (2)
  5546-5548  (3)
  5550-5550  (1)
  5553-5553  (1)
  5556-5556  (1)
  5558-555D  (6)
  5560-5562  (3)
  5564-5564  (1)
  5567-5568  (2)
  556B-556C  (2)
  556E-556F  (2)
  5571-5571  (1)
  56CC-56CC  (1)
  56CF-56D0  (2)
  56D3-56DA  (8)
  56DD-56DE  (2)
  56E5-56E7  (3)
  56EA-56EA  (1)
  56ED-56F4  (8)
  56F7-56F7  (1)
  5925-5926  (2)
  5929-5929  (1)
  592C-592D  (2)
  5930-5931  (2)
  5989-598A  (2)
  598D-598D  (1)
  5990-5990  (1)
  5993-5994  (2)
  59A5-59A5  (1)
  59A8-59A9  (2)
  59AC-59AC  (1)
  59AF-59B0  (2)
  59D0-59D0  (1)
  59D3-59D4  (2)
  59DB-59DB  (1)
  59DE-59DF  (2)
  59E6-59E9  (4)
  59EB-59EB  (1)
  5A00-5A04  (5)
  5A07-5A07  (1)
  5A69-5A69  (1)
  5A6C-5A6C  (1)
  5A6E-5A6F  (2)
  5A71-5A72  (2)
  5A75-5A75  (1)
  5A77-5A79  (3)
  5A7C-5A7D  (2)
  5DE5-5DE5  (1)
  5DE8-5DE8  (1)
  5DEB-5DEB  (1)
  5DF7-5DF7  (1)
  5DF9-5DFA  (2)
  5DFC-5DFC  (1)
  5DFF-5E00  (2)
  5E17-5E17  (1)
  5E1A-5E1A  (1)
  5E23-5E23  (1)
  5E26-5E28  (3)
  5E2F-5E30  (2)
  5E40-5E40  (1)
  5E43-5E46  (4)
  5E49-5E49  (1)
  5E4C-5E4C  (1)
  5E4E-5E4E  (1)
  5E51-5E51  (1)
  5F0E-5F0E  (1)
  5F11-5F12  (2)
  5F15-5F15  (1)
  5F18-5F19  (2)
  5F1B-5F1D  (3)
  5F20-5F26  (7)
  5F2A-5F2B  (2)
  5F2D-5F2F  (3)
  5F31-5F35  (5)
  5F38-5F38  (1)
  5F3B-5F3F  (5)
  5F41-5F41  (1)
  5F44-5F44  (1)
  5F47-5F47  (1)
  5F4A-5F4A  (1)
  5F4D-5F4D  (1)
  5F86-5F87  (2)
  5F8A-5F8A  (1)
  5F8C-5F91  (6)
  5FC2-5FC2  (1)
  5FC4-5FC5  (2)
  5FC7-5FC8  (2)
  5FCB-5FCB  (1)
  5FCE-5FCE  (1)
  5FD1-5FD1  (1)
  5FD4-5FD5  (2)
  5FD8-5FD8  (1)
  5FDB-5FDC  (2)
  5FDF-5FDF  (1)
  5FE2-5FE3  (2)
  5FE6-5FE8  (3)
  5FEA-5FEB  (2)
  5FED-5FED  (1)
  5FEF-5FEF  (1)
  5FF2-5FF2  (1)
  5FF5-5FF6  (2)
  6001-6001  (1)
  60D8-60D8  (1)
  60DB-60DC  (2)
  60E3-60E3  (1)
  60E6-60E6  (1)
  6144-6145  (2)
  6148-614A  (3)
  61CA-61CC  (3)
  61CF-61CF  (1)
  61D2-61D2  (1)
  61D5-61D6  (2)
  61E9-61E9  (1)
  61EB-61EC  (2)
  61EF-61F1  (3)
  61F3-61F6  (4)
  61F9-61FF  (7)
  6201-6205  (5)
  6207-6208  (2)
  620B-620D  (3)
  6220-6221  (2)
  6224-6225  (2)
  6228-6234  (13)
  6236-6237  (2)
  623A-623C  (3)
  62E6-62E7  (2)
  62E9-62E9  (1)
  62EC-62EC  (1)
  62EF-62EF  (1)
  62F2-62F2  (1)
  62F5-62F5  (1)
  62F8-62F8  (1)
  62FB-62FB  (1)
  62FE-62FE  (1)
  6301-6301  (1)
  6304-6304  (1)
  6307-6307  (1)
  630A-630A  (1)
  630C-630C  (1)
