# PC88Behavior バスアクセス採取結果
# 記録しているのはアドレスとアクセス種別のみ。ROM の内容は含まない。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
rom-dir   : $PC88_REF_ROM_DIR
disk      : $PC88_REF_DISK_DIR/voiceeditor.d88
frames    : 3600
type      : (なし)

[測定終了時のテキスト画面]
   0|   [PCM VOICE EDITOR Ver.02]              2.0sec 16.0KHz
   1|     Programed By HAYASHI.                    BANK= 0
   3|     PLAY:[1]<->[7]
   5|     SUMPLING:[F5]
   7|     BANK:    [ROLL]
   9|     LOAD:    [F1]
  10|     SAVE:    [F2]
  11|     RAMwrite:[F3]
  12|     RAMread: [F4]
  14|     EDIT:    [KANA]
  15|     REPEAT:  [CAPS]
  16|     BANKslct:[TAB]
  18|     VOLUME= 128  [    ]

[メインCPU] 総アクセス回数: exec=31038976 read=25109011 write=7885738 in=239734 out=235093

[メインCPU 実行された番地 (fetch)]
  0A17-0A17  (1)
  0A19-0A19  (1)
  0A1B-0A1D  (3)
  0A1F-0A1F  (1)
  0A21-0A21  (1)
  0A23-0A23  (1)
  0A25-0A25  (1)
  0A28-0A2A  (3)
  0A2C-0A2C  (1)
  0A2E-0A30  (3)
  0A33-0A33  (1)
  0A35-0A35  (1)
  0A37-0A37  (1)
  0A39-0A39  (1)
  0A3B-0A3B  (1)
  0A3D-0A3D  (1)
  0A3F-0A41  (3)
  0A44-0A44  (1)
  0A46-0A47  (2)
  0A4A-0A4A  (1)
  0A4C-0A4C  (1)
  0A4F-0A4F  (1)
  0A52-0A58  (7)
  0A5B-0A5D  (3)
  0A5F-0A5F  (1)
  0A62-0A62  (1)
  0A65-0A65  (1)
  0A67-0A69  (3)
  0A6C-0A6E  (3)
  0A71-0A73  (3)
  0A76-0A79  (4)
  0A7C-0A7D  (2)
  0A80-0A82  (3)
  0A84-0A84  (1)
  0A87-0A87  (1)
  0A89-0A8D  (5)
  0A90-0A90  (1)
  0A92-0A92  (1)
  0A94-0A94  (1)
  0A96-0A96  (1)
  0AA7-0AA7  (1)
  0AAA-0AAA  (1)
  0AAD-0AAD  (1)
  0AAF-0AAF  (1)
  0AB1-0AB1  (1)
  0AB4-0AB4  (1)
  0AB7-0AB7  (1)
  0ABA-0ABA  (1)
  0ABD-0ABD  (1)
  0B34-0B36  (3)
  0B38-0B38  (1)
  0B3B-0B3B  (1)
  0B3D-0B3D  (1)
  0B49-0B49  (1)
  0B4B-0B4B  (1)
  0B4D-0B4D  (1)
  0B4F-0B50  (2)
  0B53-0B53  (1)
  0B56-0B57  (2)
  0B5A-0B5A  (1)
  0B5D-0B62  (6)
  0B65-0B66  (2)
  0B68-0B6F  (8)
  0B71-0B72  (2)
  0B74-0B77  (4)
  0B7C-0B7C  (1)
  0B7E-0B7E  (1)
  0B81-0B81  (1)
  0B84-0B84  (1)
  0B87-0B87  (1)
  0B8A-0B8A  (1)
  0B8D-0B8D  (1)
  0B8F-0B8F  (1)
  0B91-0B91  (1)
  0B93-0B93  (1)
  0B95-0B95  (1)
  0B97-0B97  (1)
  0B99-0B99  (1)
  0BBF-0BBF  (1)
  0BC1-0BC1  (1)
  0BC4-0BC4  (1)
  0BC7-0BC9  (3)
  0BCC-0BCE  (3)
  0BD1-0BD2  (2)
  0BD5-0BD6  (2)
  0BD9-0BD9  (1)
  0BDB-0BDE  (4)
  0BF9-0BF9  (1)
  0BFC-0BFC  (1)
  0BFF-0BFF  (1)
  0C01-0C02  (2)
  0C05-0C05  (1)
  0C08-0C09  (2)
  0C0B-0C0B  (1)
  0C0E-0C10  (3)
  0C13-0C13  (1)
  0C16-0C17  (2)
  0C1A-0C1C  (3)
  0C1F-0C21  (3)
  0C24-0C24  (1)
  0C27-0C27  (1)
  0C29-0C2A  (2)
  0C2D-0C2D  (1)
  0C2F-0C2F  (1)
  0C32-0C33  (2)
  0C36-0C38  (3)
  0C3B-0C3B  (1)
  0C41-0C41  (1)
  0C44-0C44  (1)
  0C47-0C47  (1)
  0C49-0C49  (1)
  0C4C-0C4D  (2)
  0C50-0C50  (1)
  0C52-0C52  (1)
  0C54-0C54  (1)
  0C57-0C59  (3)
  0C5B-0C5B  (1)
  0C5E-0C5F  (2)
  0C62-0C64  (3)
  0C67-0C69  (3)
  0C6C-0C6E  (3)
  0C71-0C72  (2)
  0C75-0C75  (1)
  0C77-0C77  (1)
  0C79-0C7B  (3)
  0C7D-0C87  (11)
  0C89-0C89  (1)
  0C8B-0C8C  (2)
  0C8E-0C8E  (1)
  0C90-0C90  (1)
  0C92-0C95  (4)
  0C9C-0C9C  (1)
  0C9F-0C9F  (1)
  0CA1-0CA2  (2)
  0CA5-0CA7  (3)
  0CAA-0CAB  (2)
  0CAE-0CB1  (4)
  0CB4-0CB6  (3)
  0CB8-0CB8  (1)
  0CBB-0CBB  (1)
  0CBE-0CBE  (1)
  0CC1-0CC1  (1)
  0CC3-0CC3  (1)
  0CC8-0CC9  (2)
  0CCB-0CCB  (1)
  0CFB-0CFB  (1)
  0CFE-0D00  (3)
  0E05-0E05  (1)
  0E08-0E09  (2)
  0E0B-0E0B  (1)
  0E0E-0E0E  (1)
  0E10-0E10  (1)
  0E12-0E12  (1)
  0E14-0E16  (3)
  0E19-0E1A  (2)
  0E1C-0E1E  (3)
  0E20-0E20  (1)
  0E2A-0E2A  (1)
  0E2C-0E2C  (1)
  0E2F-0E2F  (1)
  0E31-0E31  (1)
  0E3B-0E3B  (1)
  0E3D-0E3D  (1)
  0E40-0E43  (4)
  0E45-0E45  (1)
  0E47-0E48  (2)
  0E54-0E54  (1)
  0E57-0E57  (1)
  0E5A-0E5C  (3)
  0E5F-0E5F  (1)
  0E62-0E62  (1)
  0E64-0E64  (1)
  0E67-0E67  (1)
  0E69-0E69  (1)
  0E6C-0E6C  (1)
  0E6E-0E6E  (1)
  0E71-0E72  (2)
  0E74-0E74  (1)
  0E76-0E76  (1)
  0E78-0E78  (1)
  0E7B-0E7C  (2)
  0E7F-0E81  (3)
  0E83-0E83  (1)
  0E86-0E86  (1)
  0E89-0E89  (1)
  0E8B-0E8B  (1)
  0E8E-0E8F  (2)
  0E92-0E92  (1)
  0E95-0E95  (1)
  0E97-0E97  (1)
  0E9A-0E9A  (1)
  0E9D-0E9E  (2)
  0EB5-0EB5  (1)
  0EB8-0EBA  (3)
