record	candidate_id	arm	physical_row	char_count	sha256
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	4	76	26b586d7ec53de4ce9e70d7ef5b866e58980791e495888bedb4a40f841096bfe
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	5	76	f943998f4df5fca86f9b1b55d97dcd356991b9833270936998eebfd9fa084069
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	6	76	e099d90fef8b2f11d290d562c7aaac72fe8499e6a491889b9fee1efbab643845
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	7	76	5b8499c1d6e5bfa3aa43ae7490fb4a72d131d66a450a4090ea4979d41ee1a502
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	8	76	56ec646acb71fee0bbe14ca718ec20eaf6da9b6df2b42e6ca1d76a6939881c90
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	9	76	1e28ad2ed3c707796772e40cd932459ab4311747c6588d2a9b9d8f20b82934e3
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	10	76	45fa3650b765ffd58b6aed0ceb57ed0eaea306ded5843e986b0465dd11eb28c1
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	11	76	6d12730f3aa89bcb844526ccf797d6412f46d148dbc372b4bfb7485d59959c6b
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	12	76	7c18aa74a94dbd1aba788b1adbee28080fd2a47b77b16f6063c930f52afd1cc7
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	13	76	518fd0682181951f3cf866556962e64c084b928a3b6636751f5be5c2e772322d
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	14	76	6610f3afc58101bfb90bdbed2e3b5bcc20e4d0d4cb175282b571dce562e53785
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	15	76	920914ee4b4e247e16e9e1649779aedc3b485050e1755b63550710750477ea00
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	16	76	8fe94d8993b6cd0ab377716cacc55ae5dc19dfec938faf9f5d965b882f095fdd
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	17	12	0a899fe6dc7a37caa7e1f2682e4bdfafc3926c3dfae422e59e0788e3f01b8ab9
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_SECTORS	L96	-	18	95b8c8ce17e3ee87046996ae645b9b5e37a280c328f01bfb6081eb6e1deb831c
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L0	-	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L1	0	7	032440120e52e369061a3c58cde7eb887d6b985586c816f084be0af6ab65b774
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L1	-	1	5f239d317243e74af720268dbd942ce6970dc27cb3dd64b308898e4d23bc7ddc
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L4	0	58	c3b97378aa24d81bddb963ad0a68efca0046cb7cf92448a062121b318d7ad28e
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L4	-	1	d2b6fd930403870d056c4aa35b8a3b8dbf5e047c04734bcbc8be17cb98208f64
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L5	0	74	7aad05ff6df62545640bd106f2c83dbd4193fcd137cb20418e6ec4a3e8100d00
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L5	-	1	6088c44cac18e1849f3532ffe12797f20352f63b02b98ba797d29afc29dfda12
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L6	0	74	7aad05ff6df62545640bd106f2c83dbd4193fcd137cb20418e6ec4a3e8100d00
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L6	1	10	14d0052dd9a831874697da4240d60400f19ff482d85c3745f9d2b6e568a1084f
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L6	-	2	4442dc7260b2fb97aeab012863505a4424e80d5fe1b250a31981f4256294a883
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L11	0	71	088c4fb72b832ba5d8145df647972fb3870a5cdb42d9f2141783a7d82091460e
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L11	1	73	6a6c0b4e338c9705c95c9a2a1661a6077305fcd4efc73ecf765202dc72a44633
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L11	2	9	f451dd2343fd0bb30fcefcd8d8507563fac724f057a321067caeb371d803a278
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L11	-	3	52692e4551d4f0c8d3fb6cf11117703acc26cbd89bf3daaab544d5c494fc4ebe
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	0	74	7cf49a20d72ecff6285125c1f0eede4fe1718315d05444ad24c4e42c8fa97573
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	1	74	143f275fb227be3e7d8ea02aa24721f6ffe22948b23a17ecb161a380a4c92b1f
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	2	74	1a8a567980843508152d61f11f8833ea6f47b586cf2e00481411f0c257b67caa
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	3	74	5f3ed324afb9039d13a25da867247948ad11ac4fb5e5a891dbf76b643124bbc9
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	4	74	85d84bccd3b5c440fa65925ada404be0fb595acfd47a14e4d299934285f72e90
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	5	74	cf4d8c6ab886fdfa951396bd185abcdb3e2af2e7b757b294d0551e229bbb4fd6
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	6	74	5b387bac2a8516971104bf5d3150ff76c2fc9f46d77ea46348ec50dad9736908
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	7	74	6f25dff6b5333b3c940242c69c22ed1d2acf8b7820c126787fb9bf8ede74325e
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	8	74	c6ad434f4b23a4491ca5a74be329e5265b5a7cf5698cb6366360e40ee604423e
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	9	74	8ead9f891b2bc0e9ca98a5a883017ea2ea51f03a8b15e3fc34ace8c049e724ef
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	10	74	48788b72a715248dfbec55ceaa252b232341fa4960ed4147cc887113bb30ddaf
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	11	74	1dfed325241fc1bd467bbca5cd59ab2ce6f42bc089e6553fe7741a9bf30df9df
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	12	74	eec6b50645031d76125ff19d9ab46818091eef6455d3489131292339839b4ebf
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_NONE	L96	13	74	19b44ce38de0a55bd45ef6365f4801204f7d30255708e94e8b583ed0da7fa6cd
